|Option|Type|Default Value|Description|
|discovery.deployment.stats.serviceMonitorEnabled|bool||Whether or not to expose an http-monitoring port that can be scraped by a Prometheus Service Monitor. Requires that 'enabled' is also true|
|discovery.deployment.stats.podMonitorEnabled|bool||Whether or not to expose an http-monitoring port that can be scraped by a Prometheus Pod Monitor. Requires that 'enabled' is also true|
|discovery.deployment.floatingUserId|bool||If true, allows the cluster to dynamically assign a user ID for the processes running in the container.|
|discovery.deployment.runAsUser|float64||Explicitly set the user ID for the processes in the container to run as. Default is 10101.|
|discovery.deployment.fsGroup|float64||Explicitly set the group ID for volume ownership. Default is 10101|
|discovery.deployment.extraDiscoveryLabels.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.labels data of the gloo edge discovery deployment.|
|discovery.deployment.extraDiscoveryAnnotations.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.annotations data of the gloo edge discovery deployment.|
|discovery.deployment.enablePodSecurityContext|bool|true|Whether or not to render the pod security context. Default is true|
|discovery.deployment.replicas|int|1|number of instances to deploy|
|discovery.deployment.customEnv[].name|string|||
|discovery.deployment.customEnv[].value|string|||
|discovery.deployment.customEnv[].valueFrom.fieldRef.apiVersion|string|||
|discovery.deployment.customEnv[].valueFrom.fieldRef.fieldPath|string|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.containerName|string|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.resource|string|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|int64|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|int32|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|bool|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|uint|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|int32|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|string|||
|discovery.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|string|||
|discovery.deployment.customEnv[].valueFrom.configMapKeyRef.name|string|||
|discovery.deployment.customEnv[].valueFrom.configMapKeyRef.key|string|||
|discovery.deployment.customEnv[].valueFrom.configMapKeyRef.optional|bool|||
|discovery.deployment.customEnv[].valueFrom.secretKeyRef.name|string|||
|discovery.deployment.customEnv[].valueFrom.secretKeyRef.key|string|||
|discovery.deployment.customEnv[].valueFrom.secretKeyRef.optional|bool|||
|discovery.deployment.restartPolicy|string||restart policy to use when the pod exits|
|discovery.deployment.priorityClassName|string||name of a defined priority class|
|discovery.deployment.nodeName|string||name of node to run on|
|discovery.deployment.nodeSelector.NAME|string||label selector for nodes|
|discovery.deployment.tolerations[].key|string|||
|discovery.deployment.tolerations[].operator|string|||
|discovery.deployment.tolerations[].value|string|||
|discovery.deployment.tolerations[].effect|string|||
|discovery.deployment.tolerations[].tolerationSeconds|int64|||
|discovery.deployment.affinity.NAME|interface|||
|discovery.deployment.hostAliases[]|interface|||
|discovery.deployment.initContainers[]|interface||[InitContainers](https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#containers) to be added to the array of initContainers on the deployment.|
|discovery.deployment.resources.limits.memory|string||amount of memory|
|discovery.deployment.resources.limits.cpu|string||amount of CPUs|
|discovery.deployment.resources.requests.memory|string||amount of memory|
|discovery.deployment.resources.requests.cpu|string||amount of CPUs|
|discovery.deployment.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|discovery.fdsMode|string|WHITELIST|mode for function discovery (blacklist or whitelist). See more info in the settings docs|
|discovery.udsOptions.enabled|bool||Enable upstream discovery service. Defaults to true.|
|discovery.udsOptions.watchLabels.NAME|string||Map of labels to watch. Only services which match all of the selectors specified here will be discovered by UDS.|
|discovery.fdsOptions.graphqlEnabled|bool||Enable GraphQL schema generation on the function discovery service. Defaults to true.|
|discovery.enabled|bool|true|enable Discovery features|
|discovery.serviceAccount.extraAnnotations.NAME|string||extra annotations to add to the service account|
|discovery.serviceAccount.disableAutomount|bool||disable automounting the service account to the gateway proxy. not mounting the token hardens the proxy container, but may interfere with service mesh integrations|
|discovery.serviceAccount.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|discovery.logLevel|string||Level at which the pod should log. Options include "info", "debug", "warn", "error", "panic" and "fatal". Default level is info|
|gateway.enabled|bool|true|enable Gloo Edge API Gateway features|
|gateway.validation.enabled|bool|true|enable Gloo Edge API Gateway validation hook (default true)|
|gateway.validation.alwaysAcceptResources|bool|true|unless this is set this to false in order to ensure validation webhook rejects invalid resources. by default, validation webhook will only log and report metrics for invalid resource admission without rejecting them outright.|
|gateway.validation.allowWarnings|bool|true|set this to false in order to ensure validation webhook rejects resources that would have warning status or rejected status, rather than just rejected.|
|gateway.validation.serverEnabled|bool|true|By providing the validation field (parent of this object) the user is implicitly opting into validation. This field allows the user to opt out of the validation server, while still configuring pre-existing fields such as warn_route_short_circuiting and disable_transformation_validation.|
|gateway.validation.disableTransformationValidation|bool|false|set this to true to disable transformation validation. This may bring signifigant performance benefits if using many transformations, at the cost of possibly incorrect transformations being sent to Envoy. When using this value make sure to pre-validate transformations.|
|gateway.validation.warnRouteShortCircuiting|bool|false|Write a warning to route resources if validation produced a route ordering warning (defaults to false). By setting to true, this means that Gloo Edge will start assigning warnings to resources that would result in route short-circuiting within a virtual host.|
|gateway.validation.secretName|string|gateway-validation-certs|Name of the Kubernetes Secret containing TLS certificates used by the validation webhook server. This secret will be created by the certGen Job if the certGen Job is enabled.|
|gateway.validation.failurePolicy|string|Ignore|failurePolicy defines how unrecognized errors from the Gateway validation endpoint are handled - allowed values are 'Ignore' or 'Fail'. Defaults to Ignore |
|gateway.validation.webhook.enabled|bool|true|enable validation webhook (default true)|
|gateway.validation.webhook.disableHelmHook|bool|false|do not create the webhook as helm hook (default false)|
|gateway.validation.webhook.timeoutSeconds|int||the timeout for the webhook, defaults to 10|
|gateway.validation.webhook.extraAnnotations.NAME|string||extra annotations to add to the webhook|
|gateway.validation.webhook.skipDeleteValidationResources[]|string||resource types in this list will not use webhook valdaition for DELETEs. Use '*' to skip validation for all resources. Valid values are 'virtualservices', 'routetables','upstreams', 'secrets', 'ratelimitconfigs', and '*'. Invalid values will be accepted but will not be used.|
|gateway.validation.webhook.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|gateway.validation.validationServerGrpcMaxSizeBytes|int|104857600|gRPC max message size in bytes for the gloo validation server|
|gateway.validation.livenessProbeEnabled|bool||Set to true to enable a liveness probe for the gateway (default is false). You must also set the 'Probes' value to true.|
|gateway.certGenJob.image.tag|string|<release_version, ex: 1.2.3>|The image tag for the container.|
|gateway.certGenJob.image.repository|string|certgen|The image repository (name) for the container.|
|gateway.certGenJob.image.digest|string||The hash digest of the container's image, ie. sha256:12345....|
|gateway.certGenJob.image.fipsDigest|string||The hash digest of the container's fips image, ie. sha256:12345....  Only consumed if fips=true|
|gateway.certGenJob.image.registry|string||The image hostname prefix and registry, such as quay.io/solo-io.|
|gateway.certGenJob.image.pullPolicy|string||The image pull policy for the container. For default values, see the Kubernetes docs: https://kubernetes.io/docs/concepts/containers/images/#imagepullpolicy-defaulting|
|gateway.certGenJob.image.pullSecret|string||The image pull secret to use for the container, in the same namespace as the container pod.|
|gateway.certGenJob.image.extended|bool||If true, deploys an extended version of the container with additional debug tools.|
|gateway.certGenJob.image.fips|bool||If true, deploys a version of the data-plane containers that is built with FIPS-compliant crypto libraries. (Enterprise-only feature.)|
|gateway.certGenJob.restartPolicy|string|OnFailure|restart policy to use when the pod exits|
|gateway.certGenJob.priorityClassName|string||name of a defined priority class|
|gateway.certGenJob.nodeName|string||name of node to run on|
|gateway.certGenJob.nodeSelector.NAME|string||label selector for nodes|
|gateway.certGenJob.tolerations[].key|string|||
|gateway.certGenJob.tolerations[].operator|string|||
|gateway.certGenJob.tolerations[].value|string|||
|gateway.certGenJob.tolerations[].effect|string|||
|gateway.certGenJob.tolerations[].tolerationSeconds|int64|||
|gateway.certGenJob.affinity.NAME|interface|||
|gateway.certGenJob.hostAliases[]|interface|||
|gateway.certGenJob.initContainers[]|interface||[InitContainers](https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#containers) to be added to the array of initContainers on the deployment.|
|gateway.certGenJob.activeDeadlineSeconds|int||Deadline in seconds for Kubernetes jobs.|
|gateway.certGenJob.backoffLimit|int||Specifies the number of retries before marking this job failed. In kubernetes, defaults to 6|
|gateway.certGenJob.completions|int||Specifies the desired number of successfully finished pods the job should be run with.|
|gateway.certGenJob.manualSelector|bool||Controls generation of pod labels and pod selectors.|
|gateway.certGenJob.parallelism|int||Specifies the maximum desired number of pods the job should run at any given time.|
|gateway.certGenJob.ttlSecondsAfterFinished|int|60|Clean up the finished job after this many seconds. Defaults to 60|
|gateway.certGenJob.extraPodLabels.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.labels data of the job.|
|gateway.certGenJob.extraPodAnnotations.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.annotations data of the job.|
|gateway.certGenJob.kubeResourceOverride.NAME|interface||override fields in the gateway-certgen job.|
|gateway.certGenJob.mtlsKubeResourceOverride.NAME|interface||override fields in the gloo-mtls-certgen job.|
|gateway.certGenJob.enabled|bool|true|enable the job that generates the certificates for the validating webhook at install time (default true)|
|gateway.certGenJob.setTtlAfterFinished|bool|true|Set ttlSecondsAfterFinished on the job. Defaults to true|
|gateway.certGenJob.floatingUserId|bool||If true, allows the cluster to dynamically assign a user ID for the processes running in the container.|
|gateway.certGenJob.runAsUser|float64||Explicitly set the user ID for the processes in the container to run as. Default is 10101.|
|gateway.certGenJob.resources.limits.memory|string||amount of memory|
|gateway.certGenJob.resources.limits.cpu|string||amount of CPUs|
|gateway.certGenJob.resources.requests.memory|string||amount of memory|
|gateway.certGenJob.resources.requests.cpu|string||amount of CPUs|
|gateway.certGenJob.runOnUpdate|bool|false|enable to run the job also on pre-upgrade|
|gateway.certGenJob.cron.enabled|bool|false|enable the cronjob|
|gateway.certGenJob.cron.schedule|string|* * * * *|Cron job scheduling|
|gateway.certGenJob.cron.mtlsKubeResourceOverride.NAME|interface||override fields in the gloo-mtls-certgen cronjob.|
|gateway.rolloutJob.restartPolicy|string|OnFailure|restart policy to use when the pod exits|
|gateway.rolloutJob.priorityClassName|string||name of a defined priority class|
|gateway.rolloutJob.nodeName|string||name of node to run on|
|gateway.rolloutJob.nodeSelector.NAME|string||label selector for nodes|
|gateway.rolloutJob.tolerations[].key|string|||
|gateway.rolloutJob.tolerations[].operator|string|||
|gateway.rolloutJob.tolerations[].value|string|||
|gateway.rolloutJob.tolerations[].effect|string|||
|gateway.rolloutJob.tolerations[].tolerationSeconds|int64|||
|gateway.rolloutJob.affinity.NAME|interface|||
|gateway.rolloutJob.hostAliases[]|interface|||
|gateway.rolloutJob.initContainers[]|interface||[InitContainers](https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#containers) to be added to the array of initContainers on the deployment.|
|gateway.rolloutJob.activeDeadlineSeconds|int||Deadline in seconds for Kubernetes jobs.|
|gateway.rolloutJob.backoffLimit|int||Specifies the number of retries before marking this job failed. In kubernetes, defaults to 6|
|gateway.rolloutJob.completions|int||Specifies the desired number of successfully finished pods the job should be run with.|
|gateway.rolloutJob.manualSelector|bool||Controls generation of pod labels and pod selectors.|
|gateway.rolloutJob.parallelism|int||Specifies the maximum desired number of pods the job should run at any given time.|
|gateway.rolloutJob.ttlSecondsAfterFinished|int|60|Clean up the finished job after this many seconds. Defaults to 60|
|gateway.rolloutJob.extraPodLabels.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.labels data of the job.|
|gateway.rolloutJob.extraPodAnnotations.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.annotations data of the job.|
|gateway.rolloutJob.enabled|bool|true|Enable the job that applies default Gloo Edge custom resources at install and upgrade time (default true).|
|gateway.rolloutJob.image.tag|string|<release_version, ex: 1.2.3>|The image tag for the container.|
|gateway.rolloutJob.image.repository|string|kubectl|The image repository (name) for the container.|
|gateway.rolloutJob.image.digest|string||The hash digest of the container's image, ie. sha256:12345....|
|gateway.rolloutJob.image.fipsDigest|string||The hash digest of the container's fips image, ie. sha256:12345....  Only consumed if fips=true|
|gateway.rolloutJob.image.registry|string||The image hostname prefix and registry, such as quay.io/solo-io.|
|gateway.rolloutJob.image.pullPolicy|string||The image pull policy for the container. For default values, see the Kubernetes docs: https://kubernetes.io/docs/concepts/containers/images/#imagepullpolicy-defaulting|
|gateway.rolloutJob.image.pullSecret|string||The image pull secret to use for the container, in the same namespace as the container pod.|
|gateway.rolloutJob.image.extended|bool||If true, deploys an extended version of the container with additional debug tools.|
|gateway.rolloutJob.image.fips|bool||If true, deploys a version of the data-plane containers that is built with FIPS-compliant crypto libraries. (Enterprise-only feature.)|
|gateway.rolloutJob.resources.limits.memory|string||amount of memory|
|gateway.rolloutJob.resources.limits.cpu|string||amount of CPUs|
|gateway.rolloutJob.resources.requests.memory|string||amount of memory|
|gateway.rolloutJob.resources.requests.cpu|string||amount of CPUs|
|gateway.rolloutJob.floatingUserId|bool||If true, allows the cluster to dynamically assign a user ID for the processes running in the container.|
|gateway.rolloutJob.runAsUser|float64||Explicitly set the user ID for the processes in the container to run as. Default is 10101.|
|gateway.cleanupJob.restartPolicy|string|OnFailure|restart policy to use when the pod exits|
|gateway.cleanupJob.priorityClassName|string||name of a defined priority class|
|gateway.cleanupJob.nodeName|string||name of node to run on|
|gateway.cleanupJob.nodeSelector.NAME|string||label selector for nodes|
|gateway.cleanupJob.tolerations[].key|string|||
|gateway.cleanupJob.tolerations[].operator|string|||
|gateway.cleanupJob.tolerations[].value|string|||
|gateway.cleanupJob.tolerations[].effect|string|||
|gateway.cleanupJob.tolerations[].tolerationSeconds|int64|||
|gateway.cleanupJob.affinity.NAME|interface|||
|gateway.cleanupJob.hostAliases[]|interface|||
|gateway.cleanupJob.initContainers[]|interface||[InitContainers](https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#containers) to be added to the array of initContainers on the deployment.|
|gateway.cleanupJob.activeDeadlineSeconds|int||Deadline in seconds for Kubernetes jobs.|
|gateway.cleanupJob.backoffLimit|int||Specifies the number of retries before marking this job failed. In kubernetes, defaults to 6|
|gateway.cleanupJob.completions|int||Specifies the desired number of successfully finished pods the job should be run with.|
|gateway.cleanupJob.manualSelector|bool||Controls generation of pod labels and pod selectors.|
|gateway.cleanupJob.parallelism|int||Specifies the maximum desired number of pods the job should run at any given time.|
|gateway.cleanupJob.ttlSecondsAfterFinished|int|60|Clean up the finished job after this many seconds. Defaults to 60|
|gateway.cleanupJob.extraPodLabels.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.labels data of the job.|
|gateway.cleanupJob.extraPodAnnotations.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.annotations data of the job.|
|gateway.cleanupJob.enabled|bool|true|Enable the job that removes Gloo Edge custom resources when Gloo Edge is uninstalled (default true).|
|gateway.cleanupJob.image.tag|string|<release_version, ex: 1.2.3>|The image tag for the container.|
|gateway.cleanupJob.image.repository|string|kubectl|The image repository (name) for the container.|
|gateway.cleanupJob.image.digest|string||The hash digest of the container's image, ie. sha256:12345....|
|gateway.cleanupJob.image.fipsDigest|string||The hash digest of the container's fips image, ie. sha256:12345....  Only consumed if fips=true|
|gateway.cleanupJob.image.registry|string||The image hostname prefix and registry, such as quay.io/solo-io.|
|gateway.cleanupJob.image.pullPolicy|string||The image pull policy for the container. For default values, see the Kubernetes docs: https://kubernetes.io/docs/concepts/containers/images/#imagepullpolicy-defaulting|
|gateway.cleanupJob.image.pullSecret|string||The image pull secret to use for the container, in the same namespace as the container pod.|
|gateway.cleanupJob.image.extended|bool||If true, deploys an extended version of the container with additional debug tools.|
|gateway.cleanupJob.image.fips|bool||If true, deploys a version of the data-plane containers that is built with FIPS-compliant crypto libraries. (Enterprise-only feature.)|
|gateway.cleanupJob.resources.limits.memory|string||amount of memory|
|gateway.cleanupJob.resources.limits.cpu|string||amount of CPUs|
|gateway.cleanupJob.resources.requests.memory|string||amount of memory|
|gateway.cleanupJob.resources.requests.cpu|string||amount of CPUs|
|gateway.cleanupJob.floatingUserId|bool||If true, allows the cluster to dynamically assign a user ID for the processes running in the container.|
|gateway.cleanupJob.runAsUser|float64||Explicitly set the user ID for the processes in the container to run as. Default is 10101.|
|gateway.updateValues|bool||if true, will use a provided helm helper 'gloo.updatevalues' to update values during template render - useful for plugins/extensions|
|gateway.proxyServiceAccount.extraAnnotations.NAME|string||extra annotations to add to the service account|
|gateway.proxyServiceAccount.disableAutomount|bool||disable automounting the service account to the gateway proxy. not mounting the token hardens the proxy container, but may interfere with service mesh integrations|
|gateway.proxyServiceAccount.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|gateway.readGatewaysFromAllNamespaces|bool|false|if true, read Gateway custom resources from all watched namespaces rather than just the namespace of the Gateway controller|
|gateway.isolateVirtualHostsBySslConfig|bool|false|if true, Added support for the envoy.filters.listener.tls_inspector listener_filter when using the gateway.isolateVirtualHostsBySslConfig=true global setting.|
|gateway.compressedProxySpec|bool||if true, enables compression for the Proxy CRD spec|
|gateway.persistProxySpec|bool||Enable writing Proxy CRD to etcd. Disabled by default for performance.|
|gateway.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|gatewayProxies.NAME.kind.deployment.replicas|int||number of instances to deploy|
|gatewayProxies.NAME.kind.deployment.customEnv[].name|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].value|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.fieldRef.apiVersion|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.fieldRef.fieldPath|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.containerName|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.resource|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|int64|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|int32|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|bool|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|uint|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|int32|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.configMapKeyRef.name|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.configMapKeyRef.key|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.configMapKeyRef.optional|bool|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.secretKeyRef.name|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.secretKeyRef.key|string|||
|gatewayProxies.NAME.kind.deployment.customEnv[].valueFrom.secretKeyRef.optional|bool|||
|gatewayProxies.NAME.kind.deployment.restartPolicy|string||restart policy to use when the pod exits|
|gatewayProxies.NAME.kind.deployment.priorityClassName|string||name of a defined priority class|
|gatewayProxies.NAME.kind.deployment.nodeName|string||name of node to run on|
|gatewayProxies.NAME.kind.deployment.nodeSelector.NAME|string||label selector for nodes|
|gatewayProxies.NAME.kind.deployment.tolerations[].key|string|||
|gatewayProxies.NAME.kind.deployment.tolerations[].operator|string|||
|gatewayProxies.NAME.kind.deployment.tolerations[].value|string|||
|gatewayProxies.NAME.kind.deployment.tolerations[].effect|string|||
|gatewayProxies.NAME.kind.deployment.tolerations[].tolerationSeconds|int64|||
|gatewayProxies.NAME.kind.deployment.affinity.NAME|interface|||
|gatewayProxies.NAME.kind.deployment.hostAliases[]|interface|||
|gatewayProxies.NAME.kind.deployment.initContainers[]|interface||[InitContainers](https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#containers) to be added to the array of initContainers on the deployment.|
|gatewayProxies.NAME.kind.deployment.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|gatewayProxies.NAME.kind.daemonSet.hostPort|bool||whether or not to enable host networking on the pod. Only relevant when running as a DaemonSet|
|gatewayProxies.NAME.kind.daemonSet.hostNetwork|bool|||
|gatewayProxies.NAME.namespace|string||Namespace in which to deploy this gateway proxy. Defaults to the value of Settings.WriteNamespace|
|gatewayProxies.NAME.podTemplate.httpPort|int||HTTP port for the gateway service target port.|
|gatewayProxies.NAME.podTemplate.httpsPort|int||HTTPS port for the gateway service target port.|
|gatewayProxies.NAME.podTemplate.extraPorts[]|interface||extra ports for the gateway pod.|
|gatewayProxies.NAME.podTemplate.extraAnnotations.NAME|string||extra annotations to add to the pod.|
|gatewayProxies.NAME.podTemplate.nodeName|string||name of node to run on.|
|gatewayProxies.NAME.podTemplate.nodeSelector.NAME|string||label selector for nodes.|
|gatewayProxies.NAME.podTemplate.tolerations[].key|string|||
|gatewayProxies.NAME.podTemplate.tolerations[].operator|string|||
|gatewayProxies.NAME.podTemplate.tolerations[].value|string|||
|gatewayProxies.NAME.podTemplate.tolerations[].effect|string|||
|gatewayProxies.NAME.podTemplate.tolerations[].tolerationSeconds|int64|||
|gatewayProxies.NAME.podTemplate.probes|bool||Set to true to enable a readiness probe (default is false). Then, you can also enable a liveness probe.|
|gatewayProxies.NAME.podTemplate.livenessProbeEnabled|bool||Set to true to enable a liveness probe (default is false).|
|gatewayProxies.NAME.podTemplate.resources.limits.memory|string||amount of memory|
|gatewayProxies.NAME.podTemplate.resources.limits.cpu|string||amount of CPUs|
|gatewayProxies.NAME.podTemplate.resources.requests.memory|string||amount of memory|
|gatewayProxies.NAME.podTemplate.resources.requests.cpu|string||amount of CPUs|
|gatewayProxies.NAME.podTemplate.disableNetBind|bool||don't add the NET_BIND_SERVICE capability to the pod. This means that the gateway proxy will not be able to bind to ports below 1024. If podSecurityContext is defined, this value is not applied.|
|gatewayProxies.NAME.podTemplate.runUnprivileged|bool||run Envoy as an unprivileged user. If a SecurityContext is defined for the pod or container, this value is not applied for the pod/container.|
|gatewayProxies.NAME.podTemplate.floatingUserId|bool||If true, allows the cluster to dynamically assign a user ID for the processes running in the container. If podSecurityContext is defined, this value is not applied.|
|gatewayProxies.NAME.podTemplate.runAsUser|float64||Explicitly set the user ID for the processes in the container to run as. Default is 10101. If a SecurityContext is defined for the pod or container, this value is not applied for the pod/container.|
|gatewayProxies.NAME.podTemplate.fsGroup|float64||Explicitly set the group ID for volume ownership. Default is 10101. If podSecurityContext is defined, this value is not applied.|
|gatewayProxies.NAME.podTemplate.gracefulShutdown.enabled|bool||Enable grace period before shutdown to finish current requests while Envoy health checks fail to e.g. notify external load balancers. *NOTE:* This will not have any effect if you have not defined health checks via the health check filter|
|gatewayProxies.NAME.podTemplate.gracefulShutdown.sleepTimeSeconds|int||Time (in seconds) for the preStop hook to wait before allowing Envoy to terminate|
|gatewayProxies.NAME.podTemplate.terminationGracePeriodSeconds|int||Time in seconds to wait for the pod to terminate gracefully. See [kubernetes docs](https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.18/#podspec-v1-core) for more info.|
|gatewayProxies.NAME.podTemplate.customReadinessProbe.exec.command[]|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.httpGet.path|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.httpGet.port|int64|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.httpGet.port|int32|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.httpGet.port|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.httpGet.host|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.httpGet.scheme|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.httpGet.httpHeaders[].name|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.httpGet.httpHeaders[].value|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.tcpSocket.port|int64|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.tcpSocket.port|int32|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.tcpSocket.port|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.tcpSocket.host|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.grpc.port|int32|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.grpc.service|string|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.initialDelaySeconds|int32|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.timeoutSeconds|int32|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.periodSeconds|int32|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.successThreshold|int32|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.failureThreshold|int32|||
|gatewayProxies.NAME.podTemplate.customReadinessProbe.terminationGracePeriodSeconds|int64|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.exec.command[]|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.httpGet.path|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.httpGet.port|int64|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.httpGet.port|int32|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.httpGet.port|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.httpGet.host|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.httpGet.scheme|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.httpGet.httpHeaders[].name|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.httpGet.httpHeaders[].value|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.tcpSocket.port|int64|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.tcpSocket.port|int32|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.tcpSocket.port|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.tcpSocket.host|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.grpc.port|int32|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.grpc.service|string|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.initialDelaySeconds|int32|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.timeoutSeconds|int32|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.periodSeconds|int32|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.successThreshold|int32|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.failureThreshold|int32|||
|gatewayProxies.NAME.podTemplate.customLivenessProbe.terminationGracePeriodSeconds|int64|||
|gatewayProxies.NAME.podTemplate.extraGatewayProxyLabels.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.labels data of the gloo edge gateway-proxy deployment.|
|gatewayProxies.NAME.podTemplate.extraContainers[]|interface||Extra [containers](https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#containers) to be added to the array of containers on the gateway proxy deployment.|
|gatewayProxies.NAME.podTemplate.extraInitContainers[]|interface||Extra [initContainers](https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#containers) to be added to the array of initContainers on the gateway proxy deployment.|
|gatewayProxies.NAME.podTemplate.enablePodSecurityContext|bool||Whether or not to render the pod security context. Default is true.|
|gatewayProxies.NAME.podTemplate.podSecurityContext.seLinuxOptions.user|string|||
